S,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
22159,0.601445,0.500000,63.959579,58.880840,122.840418,335.795898
22169,0.601579,0.900000,63.992165,58.908849,122.901014,335.795898
22179,0.601579,0.600000,64.024050,58.940433,122.964483,335.795898
22189,0.601713,0.900000,64.057692,58.970605,123.028297,336.850586
22199,0.601758,0.700000,64.094462,59.004856,123.099318,335.795898
22209,0.601757,0.600000,64.128815,59.037486,123.166301,335.795898
22219,0.601846,0.800000,64.159910,59.064844,123.224754,335.795898
22229,0.601845,0.600000,64.187931,59.091247,123.279179,335.795898
22239,0.601709,0.300000,64.228401,59.126668,123.355069,335.795898
22249,0.601844,0.900000,64.262926,59.159357,123.422283,335.795898
22259,0.601888,0.700000,64.296389,59.191493,123.487882,335.795898
22269,0.601842,0.500000,64.333578,59.225213,123.558791,335.795898
22279,0.601886,0.700000,64.373510,59.263537,123.637047,335.795898
22289,0.601930,0.700000,64.413031,59.298375,123.711406,335.795898
22299,0.601974,0.700000,64.441767,59.325722,123.767489,335.795898
22309,0.601928,0.500000,64.470404,59.353181,123.823585,335.795898
22319,0.601927,0.600000,64.513305,59.391605,123.904911,336.850586
22329,0.601971,0.700000,64.544111,59.421631,123.965743,335.795898
22339,0.601970,0.600000,64.588927,59.463955,124.052882,335.795898
22349,0.602014,0.700000,64.636368,59.504530,124.140898,335.795898
22359,0.602103,0.800000,64.666397,59.532682,124.199079,335.795898
22369,0.602057,0.500000,64.694691,59.559384,124.254074,335.795898
22379,0.602101,0.700000,64.734666,59.594539,124.329205,336.850586
22389,0.602234,0.900000,64.763252,59.623769,124.387021,335.795898
22399,0.602188,0.500000,64.794764,59.652085,124.446849,335.795898
22409,0.602098,0.400000,64.838141,59.690111,124.528252,335.795898
22419,0.602053,0.500000,64.870071,59.719902,124.589972,335.795898
22429,0.602141,0.800000,64.911441,59.759898,124.671339,335.795898
22439,0.602185,0.700000,64.947293,59.792738,124.740031,335.795898
22449,0.602273,0.800000,64.978209,59.819802,124.798012,336.850586
22459,0.602227,0.500000,65.008568,59.848607,124.857175,335.795898
22469,0.602137,0.400000,65.046240,59.883455,124.929695,335.795898
22479,0.602136,0.600000,65.084638,59.918290,125.002928,335.795898
22489,0.602269,0.900000,65.113565,59.945483,125.059048,335.795898
22499,0.602268,0.600000,65.145164,59.974986,125.120150,335.795898
22509,0.602311,0.700000,65.175730,60.001890,125.177620,336.850586
22519,0.602399,0.800000,65.204246,60.028649,125.232895,335.795898
22529,0.602398,0.600000,65.233289,60.056217,125.289506,335.782227
22539,0.602397,0.600000,65.275463,60.094148,125.369611,335.809570
22549,0.602396,0.600000,65.306755,60.122905,125.429661,335.809570
22559,0.602483,0.800000,65.341007,60.154731,125.495738,335.809570
22569,0.602615,0.900000,65.377574,60.187672,125.565246,335.809570
22579,0.602614,0.600000,65.407528,60.215232,125.622760,335.809570
22589,0.602613,0.600000,65.435983,60.242079,125.678062,335.809570
22599,0.602523,0.400000,65.464162,60.268575,125.732737,335.809570
22609,0.602345,0.200000,65.506224,60.305359,125.811583,335.809570
22619,0.602477,0.900000,65.545899,60.342043,125.887942,335.809570
22629,0.602520,0.700000,65.583992,60.377243,125.961235,335.809570
22639,0.602607,0.800000,65.625311,60.413354,126.038665,336.864258
22649,0.602606,0.600000,65.666958,60.454105,126.121063,335.809570
22659,0.602517,0.400000,65.696052,60.481133,126.177185,335.809570
22669,0.602471,0.500000,65.732746,60.513482,126.246227,335.809570
22679,0.602294,0.200000,65.773326,60.552178,126.325505,335.809570
22689,0.602381,0.800000,65.801512,60.578760,126.380272,335.809570
22699,0.602468,0.800000,65.836366,60.610276,126.446642,336.864258
22709,0.602643,1.000000,65.865372,60.637480,126.502853,335.809570
22719,0.602554,0.400000,65.903243,60.675008,126.578251,335.809570
22729,0.602641,0.800000,65.940182,60.709822,126.650005,335.809570
22739,0.602728,0.800000,65.977317,60.744945,126.722262,335.809570
22749,0.602726,0.600000,66.005954,60.771749,126.777703,335.809570
22759,0.602813,0.800000,66.033970,60.797976,126.831946,335.809570
22769,0.602724,0.400000,66.070898,60.830577,126.901475,336.864258
22779,0.602855,0.900000,66.099981,60.857687,126.957668,335.809570
22789,0.602897,0.700000,66.137509,60.892525,127.030035,335.809570
22799,0.602984,0.800000,66.170719,60.921998,127.092718,335.809570
22809,0.603114,0.900000,66.199470,60.948813,127.148283,335.809570
22819,0.603113,0.600000,66.228008,60.975705,127.203713,335.809570
22829,0.603199,0.800000,66.258277,61.002751,127.261028,336.864258
22839,0.603373,1.000000,66.289740,61.031837,127.321577,335.809570
22849,0.603459,0.800000,66.318333,61.058741,127.377074,335.809570
22859,0.603545,0.800000,66.357276,61.093338,127.450614,335.809570
22869,0.603456,0.400000,66.389395,61.124080,127.513475,335.809570
22879,0.603498,0.700000,66.417479,61.150480,127.567959,335.809570
22889,0.603628,0.900000,66.447826,61.176919,127.624745,335.809570
22899,0.603713,0.800000,66.485873,61.212045,127.697918,335.809570
22909,0.603799,0.800000,66.517044,61.241691,127.758735,335.809570
22919,0.603754,0.500000,66.545121,61.268095,127.813215,335.809570
22929,0.603796,0.700000,66.576017,61.295226,127.871243,335.809570
22939,0.603881,0.800000,66.609890,61.328605,127.938495,336.067383
22949,0.603967,0.800000,66.658816,61.375430,128.034245,336.067383
22959,0.604009,0.700000,66.711551,61.418769,128.130320,336.864258
22969,0.604007,0.600000,66.754166,61.461345,128.215512,335.809570
22979,0.604179,1.000000,66.798866,61.500358,128.299224,335.809570
22989,0.604265,0.800000,66.850614,61.545200,128.395814,335.809570
22999,0.604350,0.800000,66.892593,61.583102,128.475696,335.809570
23009,0.604522,1.000000,66.921083,61.609801,128.530884,335.809570
23019,0.604520,0.600000,66.957584,61.640916,128.598500,336.850586
23029,0.604474,0.500000,66.992953,61.674147,128.667100,335.795898
23039,0.604559,0.800000,67.027302,61.705739,128.733041,335.795898
23049,0.604470,0.400000,67.066989,61.737689,128.804678,335.795898
23059,0.604469,0.600000,67.096413,61.765550,128.861963,335.795898
23069,0.604553,0.800000,67.129693,61.796872,128.926565,335.795898
23079,0.604508,0.500000,67.166082,61.829465,128.995547,335.795898
23089,0.604506,0.600000,67.199574,61.858370,129.057944,336.850586
23099,0.604634,0.900000,67.231479,61.889614,129.121093,335.795898
23109,0.604632,0.600000,67.259776,61.916340,129.176116,335.795898
23119,0.604673,0.700000,67.292453,61.945782,129.238235,335.795898
23129,0.604715,0.700000,67.327028,61.979214,129.306242,335.795898
23139,0.604712,0.600000,67.361478,62.007034,129.368512,335.795898
23149,0.604797,0.800000,67.395748,62.038080,129.433828,336.850586
23159,0.604881,0.800000,67.435779,62.076640,129.512419,335.795898
23169,0.604879,0.600000,67.470303,62.107911,129.578214,335.795898
23179,0.605006,0.900000,67.501668,62.135907,129.637575,335.795898
23189,0.604961,0.500000,67.533559,62.165977,129.699536,335.795898
23199,0.605002,0.700000,67.568035,62.198054,129.766089,335.795898
23209,0.605043,0.700000,67.602320,62.228477,129.830797,335.795898
23219,0.604826,0.100000,67.637171,62.262088,129.899259,335.795898
23229,0.604780,0.500000,67.672222,62.296051,129.968274,335.795898
23239,0.604821,0.700000,67.703608,62.325874,130.029482,335.795898
23249,0.604819,0.600000,67.734324,62.352758,130.087082,335.795898
23259,0.604817,0.600000,67.771628,62.388301,130.159929,335.795898
23269,0.604729,0.400000,67.799864,62.415016,130.214880,335.795898
23279,0.604770,0.700000,67.831910,62.443114,130.275024,336.850586
23289,0.604725,0.500000,67.866156,62.474531,130.340687,335.795898
23299,0.604766,0.700000,67.894986,62.501378,130.396364,335.795898
23309,0.604807,0.700000,67.925731,62.528715,130.454447,335.795898
23319,0.604848,0.700000,67.953995,62.555623,130.509618,335.795898
23329,0.604889,0.700000,67.982941,62.582990,130.565931,335.795898
23339,0.604844,0.500000,68.014964,62.612462,130.627427,336.850586
23349,0.604841,0.600000,68.043080,62.639014,130.682094,335.795898
23359,0.604925,0.800000,68.075793,62.669722,130.745515,335.795898
23369,0.604923,0.600000,68.114686,62.702426,130.817112,335.795898
23379,0.604964,0.700000,68.143488,62.729194,130.872681,335.795898
23389,0.605047,0.800000,68.177934,62.761681,130.939616,335.795898
23399,0.605045,0.600000,68.207018,62.789246,130.996264,335.795898
23409,0.605000,0.500000,68.243548,62.820928,131.064477,336.850586
23419,0.604870,0.300000,68.283293,62.859485,131.142778,335.795898
23429,0.604825,0.500000,68.311317,62.885953,131.197270,335.795898
23439,0.604780,0.500000,68.341624,62.912717,131.254340,335.795898
23449,0.604821,0.700000,68.373826,62.942223,131.316050,335.795898
23459,0.604861,0.700000,68.407821,62.975213,131.383033,335.795898
23469,0.604817,0.500000,68.438568,63.002376,131.440944,336.850586
23479,0.604942,0.900000,68.466828,63.029367,131.496195,335.795898
23489,0.604898,0.500000,68.495977,63.056223,131.552200,335.795898
23499,0.604811,0.400000,68.533293,63.088736,131.622029,335.795898
23509,0.604681,0.300000,68.564637,63.118189,131.682826,335.795898
23519,0.604551,0.300000,68.596244,63.147914,131.744158,335.795898
23529,0.604549,0.600000,68.626814,63.174677,131.801491,335.795898
23539,0.604675,0.900000,68.667823,63.213620,131.881442,335.795898
23549,0.604758,0.800000,68.696654,63.240691,131.937345,335.795898
23559,0.604713,0.500000,68.725497,63.267595,131.993092,335.795898
23569,0.604669,0.500000,68.765485,63.301340,132.066824,335.795898
23579,0.604794,0.900000,68.805967,63.339539,132.145506,335.795898
23589,0.604750,0.500000,68.839727,63.371806,132.211533,335.795898
23599,0.604705,0.500000,68.871201,63.398816,132.270017,336.850586
23609,0.604703,0.600000,68.904473,63.430167,132.334640,335.795898
23619,0.604744,0.700000,68.938352,63.463083,132.401435,335.795898
23629,0.604699,0.500000,68.973731,63.494878,132.468609,335.795898
23639,0.604655,0.500000,69.010793,63.532422,132.543214,335.795898
23649,0.604611,0.500000,69.046339,63.568374,132.614713,335.795898
23659,0.604693,0.800000,69.077870,63.596520,132.674391,336.850586
23669,0.604691,0.600000,69.110646,63.627770,132.738416,335.795898
23679,0.604689,0.600000,69.144252,63.659587,132.803839,335.795898
23689,0.604688,0.600000,69.176620,63.688324,132.864944,335.795898
23699,0.604686,0.600000,69.207275,63.718315,132.925591,335.795898
23709,0.604726,0.700000,69.244780,63.753342,132.998122,335.795898
23719,0.604724,0.600000,69.280508,63.787872,133.068379,335.795898
23729,0.604722,0.600000,69.314079,63.818939,133.133018,336.850586
23739,0.604678,0.500000,69.348116,63.849686,133.197802,335.795898
23749,0.604549,0.300000,69.385767,63.885760,133.271527,335.795898
23759,0.604547,0.600000,69.425087,63.920893,133.345980,335.795898
23769,0.604503,0.500000,69.453462,63.947618,133.401081,335.795898
23779,0.604501,0.600000,69.483958,63.975300,133.459258,335.795898
23789,0.604584,0.800000,69.522222,64.008985,133.531207,336.850586
23799,0.604624,0.700000,69.554985,64.043932,133.598917,335.795898
23809,0.604622,0.600000,69.585610,64.072016,133.657626,335.795898
23819,0.604620,0.600000,69.621965,64.103402,133.725368,335.795898
23829,0.604534,0.400000,69.653342,64.132460,133.785802,335.795898
23839,0.604448,0.400000,69.689860,64.168104,133.857964,336.053711
23849,0.604446,0.600000,69.725456,64.202388,133.927844,336.053711
23859,0.604361,0.400000,69.761272,64.237243,133.998514,335.795898
23869,0.604401,0.700000,69.797384,64.269098,134.066481,335.795898
23879,0.604357,0.500000,69.827431,64.298003,134.125434,335.795898
23889,0.604397,0.700000,69.858284,64.327017,134.185302,335.795898
23899,0.604479,0.800000,69.890796,64.356116,134.246912,335.795898
23909,0.604603,0.900000,69.928389,64.391356,134.319745,335.795898
23919,0.604726,0.900000,69.963333,64.422719,134.386052,336.850586
23929,0.604682,0.500000,69.992408,64.449448,134.441856,335.795898
23939,0.604722,0.700000,70.028732,64.483879,134.512611,335.795898
23949,0.604804,0.800000,70.061509,64.511877,134.573386,335.795898
23959,0.604802,0.600000,70.102704,64.548582,134.651285,335.795898
23969,0.604674,0.300000,70.138563,64.581151,134.719714,335.795898
23979,0.604673,0.600000,70.177305,64.614323,134.791628,336.850586
23989,0.604754,0.800000,70.210740,64.646858,134.857598,335.795898
23999,0.604794,0.700000,70.240265,64.674556,134.914820,335.795898
24009,0.604833,0.700000,70.280038,64.707852,134.987890,335.795898
24019,0.604915,0.800000,70.310076,64.736381,135.046457,335.795898
24029,0.604954,0.700000,70.341852,64.765706,135.107558,335.795898
24039,0.604911,0.500000,70.371744,64.793603,135.165347,335.795898
24049,0.604950,0.700000,70.415444,64.832673,135.248117,336.850586
24059,0.604906,0.500000,70.452376,64.865766,135.318142,335.795898
24069,0.604904,0.600000,70.482689,64.894983,135.377672,335.795898
24079,0.604861,0.500000,70.521553,64.929175,135.450728,335.795898
24089,0.604983,0.900000,70.565789,64.971290,135.537079,335.795898
24099,0.604981,0.600000,70.597100,65.000988,135.598088,335.795898
24109,0.605062,0.800000,70.629951,65.030562,135.660512,336.850586
24119,0.605060,0.600000,70.662187,65.062084,135.724271,335.795898
24129,0.605100,0.700000,70.696057,65.093829,135.789887,335.795898
24139,0.605263,1.000000,70.726807,65.121094,135.847901,335.795898
24149,0.605302,0.700000,70.758693,65.151321,135.910014,335.795898
24159,0.605342,0.700000,70.788442,65.179790,135.968232,335.795898
24169,0.605174,0.200000,70.821918,65.209793,136.031711,335.795898
24179,0.605213,0.700000,70.854370,65.240564,136.094933,335.795898
24189,0.605128,0.400000,70.886900,65.268919,136.155819,335.795898
24199,0.605250,0.900000,70.920799,65.300790,136.221589,335.795898
24209,0.605124,0.300000,70.953405,65.329646,136.283051,335.795898
24219,0.605122,0.600000,70.982409,65.357341,136.339750,335.795898
24229,0.605161,0.700000,71.017091,65.389097,136.406188,335.795898
24239,0.605241,0.800000,71.059849,65.426160,136.486009,336.850586
24249,0.605239,0.600000,71.088936,65.453801,136.542737,335.795898
24259,0.605196,0.500000,71.116649,65.479713,136.596363,335.795898
24269,0.605153,0.500000,71.147074,65.506384,136.653458,335.795898
24279,0.605192,0.700000,71.175151,65.532874,136.708025,335.795898
24289,0.605189,0.600000,71.206965,65.562293,136.769258,335.795898
24299,0.605270,0.800000,71.244923,65.593879,136.838802,336.850586
24309,0.605350,0.800000,71.273439,65.620760,136.894199,335.795898
24319,0.605389,0.700000,71.302256,65.648152,136.950408,335.795898
24329,0.605345,0.500000,71.341730,65.681899,137.023629,335.795898
24339,0.605343,0.600000,71.373903,65.712447,137.086350,335.795898
24349,0.605423,0.800000,71.415003,65.751681,137.166684,335.795898
24359,0.605421,0.600000,71.448174,65.783072,137.231246,335.795898
24369,0.605337,0.400000,71.479842,65.810728,137.290570,336.850586
24379,0.605416,0.800000,71.515234,65.842341,137.357574,335.795898
24389,0.605455,0.700000,71.543866,65.869099,137.412965,335.795898
24399,0.605453,0.600000,71.582979,65.902308,137.485288,335.795898
24409,0.605533,0.800000,71.615264,65.930581,137.545845,335.795898
24419,0.605612,0.800000,71.645262,65.957162,137.602424,335.795898
24429,0.605692,0.800000,71.683301,65.990829,137.674130,336.850586
24439,0.605731,0.700000,71.717047,66.021802,137.738849,335.795898
24449,0.605687,0.500000,71.754139,66.054855,137.808994,335.795898
24459,0.605481,0.100000,71.791375,66.087106,137.878481,335.795898
24469,0.605478,0.600000,71.828758,66.120763,137.949521,335.795898
24479,0.605476,0.600000,71.862905,66.152835,138.015741,335.795898
24489,0.605515,0.700000,71.894057,66.180071,138.074128,335.795898
24499,0.605512,0.600000,71.931461,66.213891,138.145352,335.795898
24509,0.605551,0.700000,71.969096,66.249002,138.218098,335.795898
24519,0.605671,0.900000,72.002804,66.281603,138.284407,335.795898
24529,0.605710,0.700000,72.044390,66.317906,138.362297,335.795898
24539,0.605748,0.700000,72.078331,66.349593,138.427925,335.795898
24549,0.605827,0.800000,72.109369,66.380403,138.489771,335.795898
24559,0.605947,0.900000,72.140121,66.407786,138.547907,336.850586
24569,0.605985,0.700000,72.177163,66.442353,138.619515,335.795898
24579,0.605983,0.600000,72.212306,66.476077,138.688384,335.782227
24589,0.605899,0.400000,72.250862,66.510620,138.761482,335.782227
24599,0.606019,0.900000,72.279802,66.539810,138.819612,335.782227
24609,0.606016,0.600000,72.311161,66.570307,138.881468,335.782227
24619,0.606136,0.900000,72.344700,66.599014,138.943714,336.836914
24629,0.606052,0.400000,72.383512,66.636402,139.019913,335.782227
24639,0.605968,0.400000,72.412452,66.664193,139.076645,335.782227
24649,0.605885,0.400000,72.449369,66.696082,139.145452,335.782227
24659,0.605963,0.800000,72.482920,66.727241,139.210161,335.782227
24669,0.606042,0.800000,72.516842,66.759300,139.276143,335.782227
24679,0.605959,0.400000,72.556074,66.793574,139.349648,335.782227
24689,0.605835,0.300000,72.592543,66.826452,139.418995,336.836914
24699,0.605792,0.500000,72.630731,66.861539,139.492270,335.782227
24709,0.605789,0.600000,72.666063,66.894842,139.560905,335.782227
24719,0.605828,0.700000,72.703053,66.931130,139.634183,335.782227
24729,0.605866,0.700000,72.740062,66.965195,139.705258,335.782227
24739,0.605904,0.700000,72.776297,67.001655,139.777953,336.040039
24749,0.605901,0.600000,72.815971,67.038650,139.854621,337.094727
24759,0.605939,0.700000,72.848257,67.069190,139.917447,335.782227
24769,0.605897,0.500000,72.879374,67.098984,139.978358,335.782227
24779,0.605975,0.800000,72.920908,67.135871,140.056779,335.782227
24789,0.605932,0.500000,72.960983,67.174544,140.135527,335.782227
24799,0.605970,0.700000,72.989812,67.201815,140.191627,335.782227
24809,0.606048,0.800000,73.020346,67.228587,140.248933,335.782227
24819,0.606127,0.800000,73.052831,67.258013,140.310845,335.782227
24829,0.606084,0.500000,73.081516,67.285163,140.366679,335.782227
24839,0.606041,0.500000,73.109747,67.311813,140.421560,335.782227
24849,0.606079,0.700000,73.140921,67.338445,140.479365,335.782227
24859,0.606076,0.600000,73.182233,67.376987,140.559220,335.782227
24869,0.605994,0.400000,73.216594,67.411510,140.628104,335.782227
24879,0.606031,0.700000,73.247375,67.438282,140.685657,336.836914
24889,0.605949,0.400000,73.276353,67.465557,140.741910,335.782227
24899,0.606027,0.800000,73.307763,67.494690,140.802453,335.782227
24909,0.606104,0.800000,73.338217,67.521576,140.859792,335.782227
24919,0.606222,0.900000,73.371320,67.554243,140.925563,335.782227
24929,0.606140,0.400000,73.409714,67.587680,140.997394,335.782227
24939,0.606137,0.600000,73.449119,67.624852,141.073971,336.836914
24949,0.606135,0.600000,73.482093,67.654881,141.136975,335.782227
24959,0.606172,0.700000,73.524695,67.697195,141.221890,335.782227
24969,0.606250,0.800000,73.563213,67.729733,141.292946,335.782227
24979,0.606167,0.400000,73.598118,67.762350,141.360468,335.782227
24989,0.606245,0.800000,73.629070,67.791450,141.420521,335.782227
24999,0.606323,0.800000,73.661504,67.821497,141.483001,335.782227
25009,0.606240,0.400000,73.692345,67.848496,141.540841,336.836914
25019,0.606238,0.600000,73.726786,67.879646,141.606432,335.782227
25029,0.606275,0.700000,73.762180,67.914550,141.676730,335.782227
25039,0.606233,0.500000,73.793875,67.942579,141.736455,335.782227
25049,0.606190,0.500000,73.828991,67.974379,141.803371,335.782227
25059,0.606108,0.400000,73.864237,68.005735,141.869972,335.782227
25069,0.606185,0.800000,73.901552,68.036501,141.938053,336.836914
25079,0.606223,0.700000,73.933076,68.067359,142.000434,335.782227
25089,0.606100,0.300000,73.969400,68.100125,142.069526,335.782227
25099,0.606178,0.800000,74.002817,68.129087,142.131904,335.782227
25109,0.606135,0.500000,74.031772,68.156290,142.188062,335.782227
25119,0.606093,0.500000,74.062644,68.186225,142.248869,335.782227
25129,0.606051,0.500000,74.106294,68.223435,142.329729,335.782227
25139,0.606168,0.900000,74.138170,68.254892,142.393063,335.782227
25149,0.606205,0.700000,74.178062,68.288973,142.467035,335.782227
25159,0.606243,0.700000,74.212517,68.323250,142.535767,335.782227
25169,0.606200,0.500000,74.249251,68.357197,142.606448,335.782227
25179,0.606238,0.700000,74.278510,68.384490,142.663000,335.782227
25189,0.606315,0.800000,74.317004,68.421970,142.738973,335.782227
25199,0.606193,0.300000,74.352649,68.452868,142.805517,336.836914
25209,0.606071,0.300000,74.387858,68.484850,142.872708,335.782227
25219,0.606148,0.800000,74.422045,68.516586,142.938632,335.782227
25229,0.606225,0.800000,74.460090,68.550270,143.010359,335.782227
25239,0.606143,0.400000,74.502440,68.590940,143.093380,335.782227
25249,0.606220,0.800000,74.537892,68.623785,143.161677,335.782227
25259,0.606257,0.700000,74.568906,68.651000,143.219906,336.836914
25269,0.606295,0.700000,74.603783,68.683193,143.286976,335.782227
25279,0.606252,0.500000,74.644100,68.721755,143.365855,335.782227
25289,0.606408,1.000000,74.678751,68.753466,143.432217,335.782227
25299,0.606406,0.600000,74.717644,68.787375,143.505019,335.782227
25309,0.606482,0.800000,74.755304,68.822550,143.577854,335.782227
25319,0.606559,0.800000,74.784758,68.849871,143.634630,335.782227
25329,0.606556,0.600000,74.815082,68.876491,143.691573,336.836914
25339,0.606553,0.600000,74.843722,68.903323,143.747044,335.782227
25349,0.606669,0.900000,74.877221,68.934220,143.811441,335.782227
25359,0.606746,0.800000,74.917687,68.970418,143.888106,335.782227
25369,0.606822,0.800000,74.963460,69.012502,143.975962,335.782227
25379,0.606780,0.500000,75.000462,69.046628,144.047089,335.782227
25389,0.606816,0.700000,75.040380,69.083001,144.123381,336.836914
25399,0.606853,0.700000,75.076590,69.112943,144.189533,335.782227
25409,0.606811,0.500000,75.121465,69.154086,144.275551,335.782227
25419,0.606808,0.600000,75.157734,69.187409,144.345143,335.782227
25429,0.606884,0.800000,75.186331,69.214136,144.400468,335.782227
25439,0.606921,0.700000,75.215373,69.241224,144.456596,335.782227
25449,0.606879,0.500000,75.262122,69.281383,144.543505,335.782227
25459,0.606798,0.400000,75.309207,69.326539,144.635747,335.782227
25469,0.606677,0.300000,75.349088,69.364535,144.713623,335.782227
25479,0.606675,0.600000,75.388535,69.402405,144.790940,335.782227
25489,0.606829,1.000000,75.421462,69.430438,144.851900,335.782227
25499,0.606826,0.600000,75.456178,69.461422,144.917600,335.782227
25509,0.606784,0.500000,75.498425,69.499376,144.997801,335.782227
25519,0.606782,0.600000,75.537814,69.533240,145.071054,336.836914
25529,0.606779,0.600000,75.569025,69.561569,145.130594,335.782227
25539,0.606894,0.900000,75.597524,69.588430,145.185954,335.782227
25549,0.606930,0.700000,75.628183,69.615408,145.243592,335.782227
25559,0.606888,0.500000,75.656635,69.642410,145.299045,335.782227
25569,0.606808,0.400000,75.687312,69.670843,145.358155,335.782227
25579,0.606805,0.600000,75.725972,69.705394,145.431366,336.836914
25589,0.606841,0.700000,75.755168,69.732493,145.487662,335.782227
25599,0.606839,0.600000,75.787269,69.762629,145.549898,335.782227
25609,0.606797,0.500000,75.821641,69.792892,145.614534,335.782227
25619,0.606872,0.800000,75.856726,69.823806,145.680532,335.782227
25629,0.606948,0.800000,75.889431,69.853307,145.742737,335.782227
25639,0.607101,1.000000,75.934437,69.895810,145.830247,336.040039
25649,0.607137,0.700000,75.979639,69.936683,145.916322,337.094727
25659,0.607057,0.400000,76.015254,69.969265,145.984519,335.782227
25669,0.607015,0.500000,76.045306,69.998923,146.044229,335.782227
25679,0.606973,0.500000,76.076069,70.025923,146.101991,335.782227
25689,0.607048,0.800000,76.104614,70.052972,146.157585,335.782227
25699,0.607084,0.700000,76.133999,70.080132,146.214131,335.782227
25709,0.607160,0.800000,76.168492,70.110527,146.279019,336.836914
25719,0.607157,0.600000,76.197126,70.137451,146.334576,335.782227
25729,0.607193,0.700000,76.228702,70.167177,146.395879,335.782227
25739,0.607112,0.400000,76.259056,70.194062,146.453117,335.782227
25749,0.607110,0.600000,76.291654,70.227389,146.519042,335.782227
25759,0.607107,0.600000,76.327782,70.264713,146.592494,335.782227
25769,0.607104,0.600000,76.358980,70.291492,146.650472,335.782227
25779,0.607140,0.700000,76.389441,70.319246,146.708686,335.782227
25789,0.607137,0.600000,76.420501,70.348752,146.769254,335.782227
25799,0.607290,1.000000,76.449286,70.377035,146.826320,335.782227
25809,0.607326,0.700000,76.479824,70.403758,146.883582,335.782227
25819,0.607323,0.600000,76.519965,70.441728,146.961693,335.782227
25829,0.607397,0.800000,76.550260,70.470058,147.020317,335.782227
25839,0.607472,0.800000,76.582293,70.498485,147.080778,336.836914
25849,0.607392,0.400000,76.612875,70.527460,147.140335,335.782227
25859,0.607350,0.500000,76.641147,70.553888,147.195035,335.782227
25869,0.607386,0.700000,76.677845,70.584269,147.262113,335.782227
25879,0.607499,0.900000,76.718807,70.621832,147.340639,335.782227
25889,0.607535,0.700000,76.753007,70.653860,147.406867,335.782227
25899,0.607570,0.700000,76.783641,70.680396,147.464037,336.836914
25909,0.607606,0.700000,76.812192,70.707600,147.519792,335.782227
25919,0.607487,0.300000,76.846652,70.743521,147.590173,335.782227
25929,0.607562,0.800000,76.883577,70.775413,147.658990,335.782227
25939,0.607559,0.600000,76.916876,70.806256,147.723132,335.782227
25949,0.607594,0.700000,76.956559,70.844142,147.800702,335.782227
25959,0.607630,0.700000,76.992013,70.873918,147.865931,335.782227
25969,0.607589,0.500000,77.023088,70.901244,147.924331,336.836914
25979,0.607547,0.500000,77.063986,70.939898,148.003884,335.782227
25989,0.607583,0.700000,77.096731,70.971033,148.067764,335.782227
25999,0.607580,0.600000,77.130079,71.000305,148.130384,335.782227
26009,0.607654,0.800000,77.160194,71.027117,148.187311,335.782227
26019,0.607689,0.700000,77.191800,71.056715,148.248515,335.782227
26029,0.607763,0.800000,77.231874,71.092759,148.324633,336.836914
26039,0.607799,0.700000,77.263726,71.124012,148.387738,335.782227
26049,0.607680,0.300000,77.295790,71.154226,148.450016,335.782227
26059,0.607678,0.600000,77.326766,71.181559,148.508325,335.782227
26069,0.607675,0.600000,77.369283,71.222676,148.591959,335.782227
26079,0.607595,0.400000,77.405876,71.256302,148.662177,335.782227
26089,0.607630,0.700000,77.443198,71.290149,148.733347,335.782227
26099,0.607666,0.700000,77.473261,71.319867,148.793128,335.782227
26109,0.607816,1.000000,77.508965,71.354270,148.863235,335.782227
26119,0.607851,0.700000,77.544764,71.388403,148.933167,335.782227
26129,0.607925,0.800000,77.585590,71.424845,149.010435,335.782227
26139,0.607960,0.700000,77.621234,71.459345,149.080579,335.782227
26149,0.607957,0.600000,77.654767,71.489734,149.144502,335.782227
26159,0.607916,0.500000,77.685243,71.516318,149.201561,336.836914
26169,0.607951,0.700000,77.720638,71.548553,149.269191,335.782227
26179,0.607948,0.600000,77.752481,71.577171,149.329652,335.782227
26189,0.607945,0.600000,77.787930,71.609021,149.396951,335.782227
26199,0.607904,0.500000,77.830031,71.649523,149.479554,335.782227
26209,0.607863,0.500000,77.873522,71.691386,149.564908,335.782227
26219,0.607821,0.500000,77.914746,71.728290,149.643037,336.836914
26229,0.607818,0.600000,77.948811,71.762366,149.711176,335.782227
26239,0.607892,0.800000,77.985269,71.796578,149.781847,335.782227
26249,0.607851,0.500000,78.020743,71.829136,149.849879,335.782227
26259,0.607848,0.600000,78.049698,71.856345,149.906042,335.782227
26269,0.607730,0.300000,78.077752,71.882558,149.960310,335.782227
26279,0.607689,0.500000,78.106053,71.908955,150.015008,335.782227
26289,0.607763,0.800000,78.138069,71.936906,150.074975,336.836914
26299,0.607798,0.700000,78.177231,71.973105,150.150336,335.782227
26309,0.607833,0.700000,78.205923,72.000090,150.206012,335.782227
26319,0.607868,0.700000,78.237167,72.027540,150.264708,335.782227
26329,0.607789,0.400000,78.274018,72.062941,150.336959,335.782227
26339,0.607786,0.600000,78.309742,72.095404,150.405146,335.782227
26349,0.607783,0.600000,78.354718,72.134413,150.489131,336.836914
26359,0.607894,0.900000,78.387265,72.164092,150.551357,335.782227
26369,0.607891,0.600000,78.420258,72.195759,150.616017,335.782227
